date,open,high,low,close,volume
3/21/1983,8.9675,9.03,8.8101,8.9975,510800
3/28/1983,8.8426,9.03,8.6551,8.6851,494800
3/29/1983,8.5926,8.8426,8.3427,8.4352,778000
4/28/1983,9.3424,9.4349,9.2475,9.3099,266800
5/2/1983,9.4049,9.4974,9.28,9.3724,541200
5/3/1983,9.3724,9.9048,9.3724,9.8423,496000
5/16/1983,11.4044,11.4669,11.2469,11.3094,588000
5/23/1983,11.9667,11.9967,11.7168,11.9667,452000
5/27/1983,12.5291,12.5916,12.3091,12.4041,317200
6/17/1983,13.6838,13.7787,13.5288,13.6538,109200
6/27/1983,16.0581,16.2131,15.3708,16.1206,584800
7/5/1983,15.9331,15.9331,15.4658,15.7782,486000
7/12/1983,16.2755,16.4005,15.8082,15.9031,347200
7/19/1983,14.1836,14.8084,14.1836,14.716,430400
7/20/1983,15.0584,15.7457,14.9959,15.7457,392400
7/28/1983,15.9031,15.9331,14.7785,14.8409,357200
7/29/1983,14.591,14.8709,14.5285,14.8709,572400
8/24/1983,13.8712,14.431,13.3064,13.4963,580400
9/21/1983,15.7457,15.8707,15.6207,15.7457,466000
10/14/1983,15.8707,15.9956,15.6807,15.9956,208800
10/19/1983,13.9962,15.1209,13.9962,15.0559,2044000
10/21/1983,15.3058,15.3058,14.496,14.746,401600
10/31/1983,15.6807,15.6807,14.8709,14.9959,493600
11/7/1983,14.556,14.556,13.8062,13.8062,846200
11/25/1983,16.2455,16.8704,16.2455,16.6854,142800
11/28/1983,16.6854,16.8104,16.5605,16.6854,113800
11/29/1983,16.6854,17.7451,16.6204,17.6852,846400
12/1/1983,16.9354,17.1853,16.6854,16.8104,505400
12/8/1983,17.1203,17.3702,16.4955,16.5605,555600
12/15/1983,16.1206,16.3105,15.9956,16.1856,553400
12/20/1983,16.1856,16.3705,16.1206,16.3105,216400
12/28/1983,16.5605,16.5605,16.2455,16.3705,112000
1/3/1984,16.8104,17.1203,16.7454,16.8704,341400
1/6/1984,17.7451,18.4349,17.6202,17.9951,922000
1/23/1984,17.4952,17.4952,17.1203,17.1853,714000
1/27/1984,15.3708,15.3708,14.496,15.0559,1074200
2/1/1984,14.556,14.746,13.8712,14.1811,1261200
2/9/1984,12.8715,13.9312,12.5566,13.4963,1406600
2/10/1984,13.6213,13.7462,12.8065,13.1814,1302800
2/28/1984,14.746,14.746,13.9962,14.1811,963600
3/1/1984,14.1811,14.746,14.1211,14.556,668200
3/2/1984,14.8709,15.2458,14.3711,14.496,1161800
3/15/1984,14.9309,15.0559,14.8059,14.9309,470200
3/16/1984,15.8707,15.8707,15.1209,15.2458,964600
3/19/1984,15.1209,15.1209,14.746,14.8709,392800
3/21/1984,14.746,14.8059,14.431,14.431,514800
4/2/1984,14.621,14.8059,14.431,14.621,1224400
5/2/1984,17.3103,17.6852,17.1203,17.3103,889000
5/8/1984,16.1206,16.6204,15.9956,16.6204,635400
5/31/1984,15.7457,15.9956,15.3708,15.8057,559600
6/12/1984,15.2458,15.5557,14.9959,15.5557,536400
6/15/1984,14.496,14.681,14.2461,14.681,837800
6/26/1984,15.7457,15.7457,14.9959,15.0559,883200
7/2/1984,15.3708,15.4958,15.0559,15.1808,404000
7/19/1984,14.621,14.621,13.1814,13.3064,1932800
7/24/1984,13.2464,13.4313,12.6815,12.8065,491400
8/8/1984,17.7451,17.8701,17.3103,17.3103,1068400
8/17/1984,19.3697,19.4347,19.1198,19.3697,984200
8/21/1984,19.4947,20.2445,19.4947,20.2445,1612600
8/28/1984,19.9945,20.2445,19.9945,20.1845,614200
9/6/1984,19.6846,19.8696,19.6196,19.7446,456400
9/7/1984,19.6846,19.7446,18.6849,19.0598,713400
9/18/1984,19.8696,19.8696,19.4947,19.6196,890600
9/24/1984,18.5599,18.6849,18.31,18.31,560200
9/26/1984,18.37,18.5599,17.7451,17.8701,935800
10/3/1984,16.4955,17.3702,16.1856,17.2453,1493400
10/9/1984,16.6854,16.6854,16.3105,16.4955,1021400
10/12/1984,17.1853,17.6202,17.1853,17.3702,1025400
10/17/1984,17.3702,17.4352,17.1203,17.3103,724400
10/18/1984,17.3103,18.31,17.3103,18.31,1431600
11/1/1984,16.1206,16.1856,15.2458,15.3058,1136200
11/16/1984,14.8709,14.9959,14.556,14.556,609200
12/24/1984,14.621,14.9959,14.556,14.8709,633200
1/7/1985,14.621,14.681,14.1811,14.3061,579800
1/8/1985,14.3061,14.3711,13.1814,13.4313,2018000
1/14/1985,15.3708,16.2455,15.3708,16.1206,1833400
2/5/1985,17.9351,18.0601,17.5602,17.6852,871400
2/6/1985,17.8101,17.8101,17.3702,17.3702,613800
2/13/1985,17.3702,17.9951,17.1853,17.9351,1384400
3/7/1985,15.6807,16.1206,15.6207,15.8707,710400
3/8/1985,15.8707,16.1856,15.8707,15.9956,668600
3/28/1985,16.4355,16.7454,16.3705,16.4955,1058200
3/29/1985,16.5605,16.6854,16.4955,16.6854,454600
4/8/1985,15.7457,15.8057,15.3708,15.6207,268400
